cali8b_after_180_150_1.ptu	 	 	cali8b_after_3.ptu	 	 	cali8b_after_2.ptu	 	 	cali8b_after_1.ptu	 	 	calib_12.3uW_7.ptu	 	 	calib_12.3uW_6.ptu	 	 	calib_12.3uW_5.ptu	 	 	calib_12.3uW_4.ptu	 	 	calib_12.3uW_3.ptu	 	 	calib_12.3uW_2.ptu	 	 	calib_12.3uW_1.ptu	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0002999976000192	6.23627718519977	0.0378449259585855	0.000299995200076799	6.33063467509267	0.0634424034301145	0.000299995200076799	6.16473189356261	0.0656545085473204	0.000299995200076799	6.71472434179852	0.0447604460769575	0.000299995200076799	7.89002014361589	0.083392506438126	0.0002999976000192	8.03361327747161	0.149428232242327	0.0002999976000192	8.10911711622724	0.103473419724254	0.0002999976000192	8.12286341482512	0.112484492239889	0.000299995200076799	8.0216476457687	0.0712933155877639	0.000299995200076799	8.13346194264236	0.0449550849678697	0.0002999976000192	9.71819313909387	0.105337250799319
0.0003999968000256	5.17606920738602	0.0564006785010379	0.000399993600102398	5.23146191210398	0.0411141021602611	0.000399993600102398	5.35212491805907	0.0316629666894875	0.000399993600102398	5.51452804584018	0.0579137375182289	0.000399993600102398	6.63594689735749	0.0454137024747045	0.0003999968000256	6.69450734977702	0.055372259402778	0.0003999968000256	6.66823100115418	0.0676309546787649	0.0003999968000256	6.64565826387372	0.0594913100441708	0.000399993600102398	6.64703000671163	0.0694010876252264	0.000399993600102398	6.80793354439756	0.0547260670155048	0.0003999968000256	8.29011619423086	0.139823153503567
0.000499996000032	4.81204206174625	0.0562211545815658	0.000499992000127998	4.84923120169383	0.0460808673993576	0.000499992000127998	4.83161727063635	0.0509385836461737	0.000499992000127998	5.00839117059274	0.0587636983857092	0.000499992000127998	5.82933988136781	0.0292972711239367	0.000499996000032	5.97766319164128	0.0646621232761136	0.000499996000032	6.10092094469155	0.0769083163582525	0.000499996000032	5.98073952652494	0.110000024502688	0.000499992000127998	6.20722213025664	0.0484949010057493	0.000499992000127998	6.16459566703093	0.0789206107420612	0.000499996000032	7.32252741344181	0.0881528957229522
0.0005999952000384	4.55236100144507	0.031125547825931	0.000599990400153598	4.45308860104402	0.0366975099518929	0.000599990400153598	4.36719387884349	0.0400565034178898	0.000599990400153598	4.61635193103614	0.0476980820361714	0.000599990400153598	5.61056072865327	0.0863310444730927	0.0005999952000384	5.58110985558201	0.0703972631067695	0.0005999952000384	5.6894160871676	0.0632648829266209	0.0005999952000384	5.65187333970657	0.037058070173293	0.000599990400153598	5.68911186242128	0.0648834137561548	0.000599990400153598	5.80228889012497	0.0900993426152732	0.0005999952000384	6.69332873233246	0.0846060059466658
0.0006999944000448	4.34652375130743	0.0203524745062766	0.000699988800179197	4.26704289921727	0.0431104445222103	0.000699988800179197	4.28720727491499	0.0545789966488193	0.000699988800179197	4.31689941776237	0.0555461364974454	0.000699988800179197	5.38212504969048	0.0781911308355723	0.0006999944000448	5.31278747252836	0.0204114821180009	0.0006999944000448	5.36571390737365	0.0476655438400542	0.0006999944000448	5.35109908695298	0.0394341325227465	0.000699988800179197	5.32501511240537	0.0649208626464384	0.000699988800179197	5.49840684846613	0.071144239575032	0.0006999944000448	6.25726893449912	0.0644050582038877
0.000849993200054399	4.08507901814567	0.0467522338271181	0.000849986400217597	4.04445372536495	0.0345601480232691	0.000849986400217597	3.97251579480702	0.0334085400374439	0.000849986400217597	4.13038151541591	0.0352242739634245	0.000849986400217597	4.98133088892664	0.0366154970515601	0.000849993200054399	4.9782646768513	0.0293876507295785	0.000849993200054399	5.12703333871624	0.0393517287526882	0.000849993200054399	5.11501045929399	0.0533135019006431	0.000849986400217597	4.99853925928518	0.0228719508882618	0.000849986400217597	5.12879890731294	0.0683417414838514	0.000849993200054399	6.06655350055668	0.0686140254329614
0.0010499916000672	3.88404400047297	0.0514659858060734	0.0010499832002688	3.85195954310778	0.0284790655600893	0.0010499832002688	3.92065542382259	0.027491744196516	0.0010499832002688	3.9509402227871	0.028322678375243	0.0010499832002688	4.74381197178819	0.0330677958311025	0.0010499916000672	4.85144590215309	0.0396701013811329	0.0010499916000672	4.82144516891812	0.0454124328784694	0.0010499916000672	4.87793129211708	0.0496059829262097	0.0010499832002688	4.84075582637489	0.0416603223089556	0.0010499832002688	4.87306002500313	0.0166334524369704	0.0010499916000672	5.70729655336179	0.0641850569179876
0.00124999000008	3.7616784997785	0.0413705356661366	0.00124998000031999	3.70621532593055	0.0353141488966237	0.00124998000031999	3.74938991505382	0.0446198851582955	0.00124998000031999	3.84820848593861	0.0202206325086847	0.00124998000031999	4.59054042187836	0.0331353915414336	0.00124999000008	4.61048651413044	0.0495246482486516	0.00124999000008	4.69890033981028	0.0268776013150544	0.00124999000008	4.68119362964428	0.04367862664144	0.00124998000031999	4.76548894861743	0.0509438241999395	0.00124998000031999	4.65594034408524	0.050395991885148	0.00124999000008	5.53002068851063	0.0463009122031206
0.0014499884000928	3.69252722836085	0.0567648313413773	0.00144997680037119	3.6883523655891	0.0336992578721407	0.00144997680037119	3.64300976758312	0.0387222954192442	0.00144997680037119	3.70978255934073	0.0238592593250732	0.00144997680037119	4.47976743312839	0.0579175389924893	0.0014499884000928	4.48849662996336	0.039384310262905	0.0014499884000928	4.58843156736565	0.0436864258570608	0.0014499884000928	4.51114582264628	0.0457864952292405	0.00144997680037119	4.64839192450584	0.0618873143547419	0.00144997680037119	4.65834667256348	0.0401285552629563	0.0014499884000928	5.38812076692794	0.0524795441731063
